question_de,answer_de,Källa FAQ / AI
"Ich suche nach einer Fliese, die etwa 60x60 groß ist – welche Formate kommen dem am nächsten?","Das nächstgelegene Format zu 60x60 cm ist 60x60, 60x120 oder 90x90 cm, je nach den gewünschten Proportionen.",AI/Cache
"Ich suche nach einer Fliese, die etwa 80x80 groß ist – welche Formate kommen dem am nächsten?","Das nächstgelegene Format zu 80x80 cm ist 80x80, 90x90 oder 100x100 cm.",AI/Cache
Welche Größen haben Sie in 20 mm?,"Standardgrößen umfassen 60x60, 80x80, 90x90, 60x120, 40x120, 100x100 cm. Möchten Sie mehr Formate sehen?",AI/Cache
Haben Sie Vorschläge für Verlegemuster für 20 mm Fliesen?,"Gängige Muster sind gerader Verband (Raster), Halbverband, Fischgrätmuster, modulares Muster und diagonale Verlegung.",AI/Cache
Ich habe 35 m² von 60x60 cm – wie viele Fuß benötige ich?,"Berechnung: 60x60 cm erfordert ungefähr 2,78 Fliesen/m². Für 35 m² sind es etwa 97 Fliesen.",AI/Cache
Wie berechne ich die Anzahl der Fliesen pro m² für eine bestimmte Fliesengröße?,"Regel: ≤60 cm → ca. 2,78 Fuß/m², 80 cm → ca. 6,25 Fuß/m², 90 cm → ca. 4,94 Fuß/m², 100 cm → ca. 4,0 Fuß/m². Längere Formate (60x120 cm, 40x120 cm) → ca. 2,78–4,17 Fuß/m².",AI/Cache
Welche Höhen in Fuß haben Sie?,"Wir bieten Füße mit den folgenden Höhenbereichen an: 28-38, 37.5-50, 50-75, 75-120, 120-170, 170-215, 140-230, 185-275, 235-325, 205-345, 250-385, 300-400, 270-455, 315-500, 365-550, 25-",AI/Cache
"Ich habe eine bestimmte Höhe, z.B. 40 mm oder 355 mm, welchen Fuß sollte ich wählen?","Überprüfen Sie Ihre Höhe und wählen Sie den Fuß, dessen einstellbarer Bereich dieses Maß abdeckt. Beispiel: 40 mm → 35–50 mm, 355 mm → 330–550 mm.",AI/Cache
Welches Zubehör wird verwendet: Adjustment Key?,Schlüssel für die genaue Höhenverstellung von SE-Podesten.,AI/Cache
Welches Zubehör wird verwendet: Slope Corrector 0-5%?,Zubehör zur Korrektur von Substratneigungen bis zu 5% für SE-Podeste.,AI/Cache
Welches Zubehör wird verwendet: Spacer Tabs 2/3/4 mm?,Abnehmbare Abstandshalterlaschen zur Steuerung der Fugenbreite.,AI/Cache
Welches Zubehör wird verwendet: Pocket Key?,Schlüssel zur Höhenverstellung von MiniPro- und BalancePro-Stützen von oben.,AI/Cache
Welches Zubehör wird verwendet: Twist Lock Ring?,Rotationsverriegelungsring für Sockelstabilität.,AI/Cache
Welches Zubehör wird verwendet: Fix Ring?,Ringzubehör zur Befestigung und Stabilisierung von BalancePro-Podesten.,AI/Cache
Welches Zubehör wird verwendet: Dome Extension 25 mm?,25 mm Verlängerungselement für MiniPro- und BalancePro-Stützen.,AI/Cache
Welches Zubehör wird verwendet: Prolunga PBP10 100 mm?,100 mm Verlängerung für BalancePro 125–225 mm Sockel.,AI/Cache
Welche Farben sind in der Uteklinker-Serie erhältlich?,"Die folgenden Farben sind in der Uteklinker-Serie verfügbar: Lava Marsili, Albero Gelso, Albero Mandorlo",AI/Cache
Welche Farben sind in der Träklinker-Serie erhältlich?,"Die folgenden Farben sind in Träklinker erhältlich:
  - Konjak",AI/Cache
Welche Formate sind in der Lava-Serie verfügbar?,"Die folgenden Formate sind in Lava verfügbar:
 - Etna – Format: 40x120, 60x60, 80x80
 - Marsili – Format: 40x120, 60x60, 80x80
 - Salina – Format: 40x120, 60x60, 80x80
 - Vesuvio – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Albero-Serie verfügbar?,"Die folgenden Formate sind in Albero verfügbar:
 - Gelso – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Mandorlo – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Nocciolo – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Alpine-Serie verfügbar?,"Die folgenden Formate sind in Alpine verfügbar:
 - Bocote – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Cobolo – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Mix Dark Chevry – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Mogano – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Sarawa – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Sarawa Chevry – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Slavonia – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Slavonia Chevry – Format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Anniversario-Serie verfügbar?,"Die folgenden Formate sind in Anniversario verfügbar:
 - Gray – Format:
 - Light gray – Format:
 - Dark gray – Format:",AI/Cache
Welche Formate sind in der Serie Antique verfügbar?,"Die folgenden Formate sind in Antique verfügbar:
 - Dune Carved – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Nuit Carved – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Opal Carved – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Taupe Carved – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Serie Ardesia verfügbar?,"Die folgenden Formate sind in Ardesia verfügbar:
 - Bianco – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Cenere – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Grigio – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Taupe – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Argresia-Serie verfügbar?,"Die folgenden Formate sind in Argresia verfügbar:
 - Black – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Beton-Serie verfügbar?,"Die folgenden Formate sind in Beton verfügbar:
 - Cemento – Formate: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Cenere – Formate: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Sandalo – Formate: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Serie Cemento verfügbar?,"Die folgenden Formate sind in Cemento verfügbar:
 - Clay – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Grit – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Land – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Lime – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Rust – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Cortina-Serie verfügbar?,"Die folgenden Formate sind in Cortina verfügbar:
 - Basalto – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Calcite – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Cenere – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Sabbia – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Grotta-Serie verfügbar?,"Die folgenden Formate sind in Grotta verfügbar:
 - Porfido – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Silver Black – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Silver White – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Iris-Serie verfügbar?,"Die folgenden Formate sind in Iris verfügbar:
 - Astra – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Crono – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Geo – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Leucos – Format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Litos – Format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Welche Formate sind in der Kvarts-Serie verfügbar?,"Die folgenden Formate sind in Kvarts verfügbar:
 - Gray – Format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90",AI/Cache
Welche Formate sind in der Manhattan-Serie verfügbar?,"Die folgenden Formate sind in Manhattan verfügbar:
 - Midtown – Format: 40x120, 60x60, 80x80
 - Nolita – Format: 40x120, 60x60, 80x80
 - Soho – Format: 40x120, 60x60, 80x80
 - Tribeca – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Materia-Serie verfügbar?,"Die folgenden Formate sind in Materia verfügbar:
 - Upcendre – Format: 40x120, 60x60, 80x80
 - Upcharbon – Format: 40x120, 60x60, 80x80
 - Upcrete – Format: 40x120, 60x60, 80x80
 - Upivoire – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Meteo-Serie verfügbar?,"Die folgenden Formate sind in Meteo verfügbar:
 - Dark – Format: 40x120, 60x60, 80x80
 - Fog – Format: 40x120, 60x60, 80x80
 - Salt – Format: 40x120, 60x60, 80x80
 - Sand – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Mista-Serie verfügbar?,"Die folgenden Formate sind in Mista verfügbar:
 - Agate – Format: 40x120, 60x60, 80x80
 - Pearl – Format: 40x120, 60x60, 80x80
 - Shell – Format: 40x120, 60x60, 80x80
 - Tahiti – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Nature-Serie verfügbar?,"Die folgenden Formate sind in Nature verfügbar:
 - Nut – Format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90
 - Nut Doga – Format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90
 - Oak – Format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90
 - Oak Doga – Format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90",AI/Cache
Welche Formate sind in der Nordique-Serie verfügbar?,"Die folgenden Formate sind in Nordique verfügbar:
 - Evo Greyge – Format: 40x120, 60x60, 80x80
 - Evo Gris Fonce – Format: 40x120, 60x60, 80x80
 - Evo Gris Fonce – Format: 40x120, 60x60, 80x80
 - Evo Noir – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Quartz-Serie verfügbar?,"Die folgenden Formate sind in Quartz verfügbar:
 - Antracite – Format: 40x120, 60x60, 80x80
 - Diaspro – Format: 40x120, 60x60, 80x80
 - Madera – Format: 40x120, 60x60, 80x80
 - Prasio – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Roccia-Serie verfügbar?,"Die folgenden Formate sind in Roccia verfügbar:
 - Antracite – Format: 40x120, 60x60, 80x80
 - Cream – Format: 40x120, 60x60, 80x80
 - Light Grey – Format: 40x120, 60x60, 80x80
 - Mud – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Slate-Serie verfügbar?,"Die folgenden Formate sind in Slate verfügbar:
 - Bly – Format:
 - Grafite – Format:
 - Grå – Format:",AI/Cache
Welche Formate sind in der Stella-Serie verfügbar?,"Die folgenden Formate sind in Stella verfügbar:
 - Bone – Format: 40x120, 60x60, 80x80
 - Cement – Format: 40x120, 60x60, 80x80
 - Plomb – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Stone-Serie verfügbar?,"Die folgenden Formate sind in Stone verfügbar:
 - Landstone – Format: 40x120, 60x60, 80x80
 - Nightstone – Format: 40x120, 60x60, 80x80
 - Silverstone – Format: 40x120, 60x60, 80x80
 - Sunstone – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Strada-Serie verfügbar?,"Die folgenden Formate sind in Strada verfügbar:
 - Saint Luois – Format: 40x120, 60x60, 80x80
 - Santa Fe' – Format: 40x120, 60x60, 80x80
 - Santa Monica – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Travertin-Serie verfügbar?,"Die folgenden Formate sind in Travertin verfügbar:
 - Beige – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Trentino-Serie verfügbar?,"Die folgenden Formate sind in Trentino verfügbar:
 - Avana – Format: 40x120, 60x60, 80x80
 - Canapa – Format: 40x120, 60x60, 80x80
 - Lino – Format: 40x120, 60x60, 80x80
 - Moro – Format: 40x120, 60x60, 80x80
 - Tabacco – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Vintage-Serie verfügbar?,"Die folgenden Formate sind in Vintage verfügbar:
 - Bruges – Format: 40x120, 60x60, 80x80
 - Gent – Format: 40x120, 60x60, 80x80
 - Namur – Format: 40x120, 60x60, 80x80",AI/Cache
Welche Formate sind in der Konjak-Serie verfügbar?,"Die folgenden Formate sind in Konjak verfügbar:
 - Konjak – Format: 40x120, 60x60, 80x80",AI/Cache
