question_da,answer_da,Källa FAQ / AI
Hvilke formater er tilgængelige i Alpine-serien?,"Følgende formater er tilgængelige i Alpine:
 - Bocote – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Cobolo – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Mix Dark Chevry – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Mogano – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Sarawa – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Sarawa Chevry – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Slavonia – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Slavonia Chevry – format: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Anniversario-serien?,"Følgende formater er tilgængelige i Anniversario:
 - Gray – format:
 - Light gray – format:
 - Dark gray – format:",AI/Cache
Hvilke formater er tilgængelige i Antique-serien?,"Følgende formater er tilgængelige i Antique:
 - Dune Carved – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Nuit Carved – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Opal Carved – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Taupe Carved – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Ardesia-serien?,"Følgende formater er tilgængelige i Ardesia:
 - Bianco – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Cenere – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Grigio – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Taupe – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Argresia-serien?,"Følgende formater er tilgængelige i Argresia:
 - Black – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Beton-serien?,"Følgende formater er tilgængelige i Beton:
 - Cemento – formater: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Cenere – formater: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80
 - Sandalo – formater: 120x240, 20x120, 30x120, 40x120, 60x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Cemento-serien?,"Følgende formater er tilgængelige i Cemento:
 - Clay – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Grit – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Land – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Lime – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Rust – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Cortina-serien?,"Følgende formater er tilgængelige i Cortina:
 - Basalto – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Calcite – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Cenere – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Sabbia – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Grotta-serien?,"Følgende formater er tilgængelige i Grotta:
 - Porfido – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Silver Black – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Silver White – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Iris-serien?,"Følgende formater er tilgængelige i Iris:
 - Astra – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Crono – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Geo – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Leucos – format: 20x120, 40x120, 60x60, 80x180, 80x80
 - Litos – format: 20x120, 40x120, 60x60, 80x180, 80x80",AI/Cache
Hvilke formater er tilgængelige i Kvarts-serien?,"Følgende formater er tilgængelige i Kvarts:
 - Gray – format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90",AI/Cache
Hvilke formater er tilgængelige i Manhattan-serien?,"Følgende formater er tilgængelige i Manhattan:
 - Midtown – format: 40x120, 60x60, 80x80
 - Nolita – format: 40x120, 60x60, 80x80
 - Soho – format: 40x120, 60x60, 80x80
 - Tribeca – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Materia-serien?,"Følgende formater er tilgængelige i Materia:
 - Upcendre – format: 40x120, 60x60, 80x80
 - Upcharbon – format: 40x120, 60x60, 80x80
 - Upcrete – format: 40x120, 60x60, 80x80
 - Upivoire – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Meteo-serien?,"Følgende formater er tilgængelige i Meteo:
 - Dark – format: 40x120, 60x60, 80x80
 - Fog – format: 40x120, 60x60, 80x80
 - Salt – format: 40x120, 60x60, 80x80
 - Sand – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Mista-serien?,"Følgende formater er tilgængelige i Mista:
 - Agate – format: 40x120, 60x60, 80x80
 - Pearl – format: 40x120, 60x60, 80x80
 - Shell – format: 40x120, 60x60, 80x80
 - Tahiti – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Nature-serien?,"De følgende formater er tilgængelige i Nature:
 - Nut – format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90
 - Nut Doga – format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90
 - Oak – format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90
 - Oak Doga – format: 100x100, 40x120, 40x180, 45x90, 60x120, 60x60, 80x80, 90x90",AI/Cache
Hvilke formater er tilgængelige i Nordique-serien?,"Følgende formater er tilgængelige i Nordique:
 - Evo Greyge – format: 40x120, 60x60, 80x80
 - Evo Gris Fonce – format: 40x120, 60x60, 80x80
 - Evo Gris Fonce – format: 40x120, 60x60, 80x80
 - Evo Noir – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Quartz-serien?,"Følgende formater er tilgængelige i Quartz:
 - Antracite – format: 40x120, 60x60, 80x80
 - Diaspro – format: 40x120, 60x60, 80x80
 - Madera – format: 40x120, 60x60, 80x80
 - Prasio – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Roccia-serien?,"Følgende formater er tilgængelige i Roccia:
 - Antracite – format: 40x120, 60x60, 80x80
 - Cream – format: 40x120, 60x60, 80x80
 - Light Grey – format: 40x120, 60x60, 80x80
 - Mud – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Slate-serien?,"De følgende formater er tilgængelige i Slate:
 - Bly – format:
 - Grafite – format:
 - Grå – format:",AI/Cache
Hvilke formater er tilgængelige i Stella-serien?,"De følgende formater er tilgængelige i Stella:
 - Bone – format: 40x120, 60x60, 80x80
 - Cement – format: 40x120, 60x60, 80x80
 - Plomb – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Stone-serien?,"Følgende formater er tilgængelige i Stone:
 - Landstone – format: 40x120, 60x60, 80x80
 - Nightstone – format: 40x120, 60x60, 80x80
 - Silverstone – format: 40x120, 60x60, 80x80
 - Sunstone – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Strada-serien?,"Følgende formater er tilgængelige i Strada:
 - Saint Luois – format: 40x120, 60x60, 80x80
 - Santa Fe' – format: 40x120, 60x60, 80x80
 - Santa Monica – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Travertin-serien?,"Følgende formater er tilgængelige i Travertin:
 - Beige – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Trentino-serien?,"Følgende formater er tilgængelige i Trentino:
 - Avana – format: 40x120, 60x60, 80x80
 - Canapa – format: 40x120, 60x60, 80x80
 - Lino – format: 40x120, 60x60, 80x80
 - Moro – format: 40x120, 60x60, 80x80
 - Tabacco – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Vintage-serien?,"De følgende formater er tilgængelige i Vintage:
 - Bruges – format: 40x120, 60x60, 80x80
 - Gent – format: 40x120, 60x60, 80x80
 - Namur – format: 40x120, 60x60, 80x80",AI/Cache
Hvilke formater er tilgængelige i Konjak-serien?,"Følgende formater er tilgængelige i Konjak:
 - Konjak – format: 40x120, 60x60, 80x80",AI/Cache
